University	Community Collge	Precentage of Units Articulated	Unmet Requirements	Met Units	Unmet Units
UCB	Orange Coast College	0.4	"[""[['EECS 16A - Designing Information Devices and Systems I (4.00)'], ['Math 54 - Linear Algebra and Differential Equations (4.00)']]"", ""[['CS 61A - Structure and Interpretation of Computer Programs (4.00)']]"", ""[['CS 70 - Discrete Mathematics and Probability Theory (4.00)']]""]"	8.0	12.0
UCB	Laney College	0.4	"[""[['EECS 16A - Designing Information Devices and Systems I (4.00)'], ['Math 54 - Linear Algebra and Differential Equations (4.00)']]"", ""[['CS 61C - Machine Structures (4.00)']]"", ""[['CS 70 - Discrete Mathematics and Probability Theory (4.00)']]""]"	8.0	12.0
UCB	Riverside City College	0.2	"[""[['EECS 16A - Designing Information Devices and Systems I (4.00)'], ['Math 54 - Linear Algebra and Differential Equations (4.00)']]"", ""[['CS 61A - Structure and Interpretation of Computer Programs (4.00)']]"", ""[['CS 61C - Machine Structures (4.00)']]"", ""[['CS 70 - Discrete Mathematics and Probability Theory (4.00)']]""]"	4.0	16.0
UCB	West Valley College	0.0	"[""[['EECS 16A - Designing Information Devices and Systems I (4.00)'], ['Math 54 - Linear Algebra and Differential Equations (4.00)']]"", ""[['CS 61A - Structure and Interpretation of Computer Programs (4.00)']]"", ""[['CS 61B/BL - Data Structures (4.00)']]"", ""[['CS 61C - Machine Structures (4.00)']]"", ""[['CS 70 - Discrete Mathematics and Probability Theory (4.00)']]""]"	0	20.0
UCB	Lassen Community College	0.0	"[""[['EECS 16A - Designing Information Devices and Systems I (4.00)'], ['Math 54 - Linear Algebra and Differential Equations (4.00)']]"", ""[['CS 61A - Structure and Interpretation of Computer Programs (4.00)']]"", ""[['CS 61B/BL - Data Structures (4.00)']]"", ""[['CS 61C - Machine Structures (4.00)']]"", ""[['CS 70 - Discrete Mathematics and Probability Theory (4.00)']]""]"	0	20.0
UCB	College of the Redwoods	0.0	"[""[['EECS 16A - Designing Information Devices and Systems I (4.00)'], ['Math 54 - Linear Algebra and Differential Equations (4.00)']]"", ""[['CS 61A - Structure and Interpretation of Computer Programs (4.00)']]"", ""[['CS 61B/BL - Data Structures (4.00)']]"", ""[['CS 61C - Machine Structures (4.00)']]"", ""[['CS 70 - Discrete Mathematics and Probability Theory (4.00)']]""]"	0	20.0
UCB	Bakersfield College	0.2	"[""[['EECS 16A - Designing Information Devices and Systems I (4.00)'], ['Math 54 - Linear Algebra and Differential Equations (4.00)']]"", ""[['CS 61A - Structure and Interpretation of Computer Programs (4.00)']]"", ""[['CS 61C - Machine Structures (4.00)']]"", ""[['CS 70 - Discrete Mathematics and Probability Theory (4.00)']]""]"	4.0	16.0
UCB	Los Angeles Pierce College	0.4	"[""[['EECS 16A - Designing Information Devices and Systems I (4.00)'], ['Math 54 - Linear Algebra and Differential Equations (4.00)']]"", ""[['CS 61A - Structure and Interpretation of Computer Programs (4.00)']]"", ""[['CS 70 - Discrete Mathematics and Probability Theory (4.00)']]""]"	8.0	12.0
UCB	Oxnard College	0.0	"[""[['EECS 16A - Designing Information Devices and Systems I (4.00)'], ['Math 54 - Linear Algebra and Differential Equations (4.00)']]"", ""[['CS 61A - Structure and Interpretation of Computer Programs (4.00)']]"", ""[['CS 61B/BL - Data Structures (4.00)']]"", ""[['CS 61C - Machine Structures (4.00)']]"", ""[['CS 70 - Discrete Mathematics and Probability Theory (4.00)']]""]"	0	20.0
UCB	Yuba College	0.0	"[""[['EECS 16A - Designing Information Devices and Systems I (4.00)'], ['Math 54 - Linear Algebra and Differential Equations (4.00)']]"", ""[['CS 61A - Structure and Interpretation of Computer Programs (4.00)']]"", ""[['CS 61B/BL - Data Structures (4.00)']]"", ""[['CS 61C - Machine Structures (4.00)']]"", ""[['CS 70 - Discrete Mathematics and Probability Theory (4.00)']]""]"	0	20.0
UCB	West Los Angeles College	0.0	"[""[['EECS 16A - Designing Information Devices and Systems I (4.00)'], ['Math 54 - Linear Algebra and Differential Equations (4.00)']]"", ""[['CS 61A - Structure and Interpretation of Computer Programs (4.00)']]"", ""[['CS 61B/BL - Data Structures (4.00)']]"", ""[['CS 61C - Machine Structures (4.00)']]"", ""[['CS 70 - Discrete Mathematics and Probability Theory (4.00)']]""]"	0	20.0
UCB	Santa Barbara City College	0.2	"[""[['EECS 16A - Designing Information Devices and Systems I (4.00)'], ['Math 54 - Linear Algebra and Differential Equations (4.00)']]"", ""[['CS 61A - Structure and Interpretation of Computer Programs (4.00)']]"", ""[['CS 61C - Machine Structures (4.00)']]"", ""[['CS 70 - Discrete Mathematics and Probability Theory (4.00)']]""]"	4.0	16.0
UCB	Sierra College	0.2	"[""[['EECS 16A - Designing Information Devices and Systems I (4.00)'], ['Math 54 - Linear Algebra and Differential Equations (4.00)']]"", ""[['CS 61A - Structure and Interpretation of Computer Programs (4.00)']]"", ""[['CS 61C - Machine Structures (4.00)']]"", ""[['CS 70 - Discrete Mathematics and Probability Theory (4.00)']]""]"	4.0	16.0
